newProc,STAR_procName,navaid_name,lat,long,GPSVis_NODE,GPSVis_TRACK,Xcoord_meters,Ycoord_meters
1,WYNDE_SEVEN.WYNDE.BAMBB,WYNDE,42.45583333,-87.11016667,"W, ,WYNDE,nav,42.4558333333333,-87.1101666666667, ,lime","T,1, , ,42.4558333333333,-87.1101666666667,WYNDE_SEVEN.WYNDE.BAMBB,blue",65863.29831,53006.63116
0,WYNDE_SEVEN.WYNDE.BAMBB,FIYER,42.39783333,-87.32116667,"W, ,FIYER,nav,42.3978333333333,-87.3211666666667, ,lime","T,0, , ,42.3978333333333,-87.3211666666667, , ",48375.44989,46564.49411
0,WYNDE_SEVEN.WYNDE.BAMBB,ERNNY,42.33866667,-87.53416667,"W, ,ERNNY,nav,42.3386666666667,-87.5341666666667, ,lime","T,0, , ,42.3386666666667,-87.5341666666667, , ",30721.83987,39992.77458
0,WYNDE_SEVEN.WYNDE.BAMBB,PAPPI,42.27,-87.60716667,"W, ,PAPPI,nav,42.27,-87.6071666666667, ,lime","T,0, , ,42.27,-87.6071666666667, , ",24671.5416,32365.87633
0,WYNDE_SEVEN.WYNDE.BAMBB,TUBEZ,42.181,-87.70083333,"W, ,TUBEZ,nav,42.181,-87.7008333333333, ,lime","T,0, , ,42.181,-87.7008333333333, , ",16908.37406,22480.5281
0,WYNDE_SEVEN.WYNDE.BAMBB,VULCN,42.09183333,-87.79416667,"W, ,VULCN,nav,42.0918333333333,-87.7941666666667, ,lime","T,0, , ,42.0918333333333,-87.7941666666667, , ",9172.83234,12576.66761
0,WYNDE_SEVEN.WYNDE.BAMBB,KURKK,42.09183333,-88.02716667,"W, ,KURKK,nav,42.0918333333333,-88.0271666666667, ,lime","T,0, , ,42.0918333333333,-88.0271666666667, , ",-10138.39364,12576.66761
0,WYNDE_SEVEN.WYNDE.BAMBB,BAMBB,42.091,-88.27533333,"W, ,BAMBB,nav,42.091,-88.2753333333333, ,lime","T,0, , ,42.091,-88.2753333333333, , ",-30706.64451,12484.10854
1,WYNDE_SEVEN.WYNDE.POSSM,WYNDE,42.45583333,-87.11016667,"W, ,WYNDE,nav,42.4558333333333,-87.1101666666667, ,lime","T,1, , ,42.4558333333333,-87.1101666666667,WYNDE_SEVEN.WYNDE.POSSM,blue",65863.29831,53006.63116
0,WYNDE_SEVEN.WYNDE.POSSM,FIYER,42.39783333,-87.32116667,"W, ,FIYER,nav,42.3978333333333,-87.3211666666667, ,lime","T,0, , ,42.3978333333333,-87.3211666666667, , ",48375.44989,46564.49411
